Order_Item_ID,Order_ID,Product_ID,Quantity,Price_per_Unit,Total_Amount
OI0,O29876,P24513,3,21.58,64.74
OI1,O35515,P9928,3,391.41,1174.23
OI2,O19039,P22714,1,317.88,317.88
OI3,O4528,P36746,3,51.27,153.81
OI4,O40524,P24559,4,197.12,788.48
OI5,O32648,P26140,4,185.71,742.84
OI6,O10129,P14537,3,322.44,967.3199999999999
OI7,O36529,P2789,3,249.94,749.8199999999999
OI8,O16410,P33731,4,142.38,569.52
OI9,O6006,P14876,5,142.53,712.65
OI10,O11684,P24839,1,184.03,184.03
OI11,O22690,P36316,5,280.63,1403.15
OI12,O8150,P23264,1,136.32,136.32
OI13,O34211,P20081,2,187.01,374.02
OI14,O17912,P37879,4,251.48,1005.92
OI15,O25546,P30830,2,92.59,185.18
OI16,O27423,P14462,5,462.43,2312.15
OI17,O18271,P6824,4,152.26,609.04
OI18,O39736,P22038,2,220.18,440.36
OI19,O21266,P9798,4,147.49,589.96
OI20,O28361,P6747,4,376.11,1504.44
OI21,O3720,P39394,3,126.04,378.12
OI22,O4855,P18699,3,192.27,576.8100000000001
OI23,O33798,P27597,2,73.42,146.84
OI24,O35625,P6824,3,177.81,533.4300000000001
OI25,O24129,P10306,4,53.19,212.76
OI26,O36408,P20026,2,454.55,909.1
OI27,O8453,P3697,2,473.88,947.76
OI28,O1535,P9428,3,121.84,365.52
OI29,O37114,P27632,2,413.49,826.98
OI30,O37266,P31639,4,481.75,1927.0
OI31,O9676,P3523,5,53.96,269.8
OI32,O28860,P3205,1,434.62,434.62
OI33,O17235,P20660,1,60.25,60.25
OI34,O21508,P29124,1,474.14,474.14
OI35,O13860,P24997,3,278.92,836.76
OI36,O6586,P24759,2,345.58,691.16
OI37,O24492,P32732,1,40.82,40.82
OI38,O26018,P24598,2,375.38,750.76
OI39,O33025,P21077,3,466.08,1398.24
OI40,O3631,P3925,5,240.8,1204.0
OI41,O16726,P37260,5,340.93,1704.65
OI42,O13889,P13335,1,323.94,323.94
OI43,O22594,P10567,2,433.47,866.94
OI44,O37245,P5395,2,447.2,894.4
OI45,O36225,P6625,3,214.85,644.55
OI46,O10639,P18325,3,176.87,530.61
OI47,O6828,P11842,2,259.37,518.74
OI48,O13205,P7792,2,37.45,74.9
OI49,O22190,P35162,4,58.21,232.84
OI50,O37818,P14086,4,145.35,581.4
OI51,O24266,P20977,4,134.51,538.04
OI52,O33973,P25659,3,371.4,1114.1999999999998
OI53,O23674,P40052,1,300.94,300.94
OI54,O29261,P11407,1,386.45,386.45
OI55,O10737,P9164,3,140.6,421.79999999999995
OI56,O8833,P6399,4,288.54,1154.16
OI57,O3615,P39306,5,329.66,1648.3000000000002
OI58,O20563,P19010,3,110.51,331.53000000000003
OI59,O18880,P6828,5,11.52,57.599999999999994
OI60,O3064,P9293,2,195.19,390.38
OI61,O7401,P40911,4,47.76,191.04
OI62,O33970,P30546,3,302.55,907.6500000000001
OI63,O37854,P21635,1,217.19,217.19
OI64,O40559,P4889,3,367.44,1102.32
OI65,O13202,P25733,2,82.73,165.46
OI66,O30604,P4961,4,380.01,1520.04
OI67,O17653,P24384,4,167.22,668.88
OI68,O38132,P24850,1,431.87,431.87
OI69,O4236,P21172,3,28.81,86.42999999999999
OI70,O14660,P4680,2,221.85,443.7
OI71,O28377,P3302,1,486.4,486.4
OI72,O40494,P38801,4,87.8,351.2
OI73,O16933,P4756,5,103.74,518.6999999999999
OI74,O17648,P6470,2,377.73,755.46
OI75,O7387,P26725,1,486.44,486.44
OI76,O35970,P13012,2,242.78,485.56
OI77,O15534,P4564,3,400.93,1202.79
OI78,O19079,P26579,4,351.54,1406.16
OI79,O32797,P25922,1,282.1,282.1
OI80,O38616,P28106,3,43.34,130.02
OI81,O17957,P37398,2,196.92,393.84
OI82,O32647,P13481,5,229.03,1145.15
OI83,O2738,P25088,4,152.15,608.6
OI84,O39759,P2408,5,322.36,1611.8000000000002
OI85,O26097,P10046,4,293.35,1173.4
OI86,O10010,P31383,1,429.81,429.81
OI87,O21254,P3769,2,105.82,211.64
OI88,O37759,P5437,4,239.33,957.32
OI89,O29626,P35007,5,478.75,2393.75
OI90,O6917,P40916,2,218.57,437.14
OI91,O34654,P31869,4,119.58,478.32
OI92,O2206,P1398,3,447.86,1343.58
OI93,O1464,P11166,1,204.0,204.0
OI94,O19756,P24732,2,279.59,559.18
OI95,O13761,P7335,3,45.17,135.51
OI96,O4257,P30641,3,194.64,583.92
OI97,O38508,P15893,4,215.84,863.36
OI98,O12342,P33625,4,397.0,1588.0
OI99,O22202,P31544,2,461.13,922.26
OI100,O30578,P16088,1,378.86,378.86
OI101,O1424,P36394,5,125.55,627.75
OI102,O8863,P38075,1,414.91,414.91
OI103,O17005,P31473,3,75.75,227.25
OI104,O4974,P32389,5,76.71,383.54999999999995
OI105,O14613,P12399,1,125.9,125.9
OI106,O14794,P25681,5,130.84,654.2
OI107,O37065,P24399,1,451.05,451.05
OI108,O21754,P9029,4,320.02,1280.08
OI109,O15973,P11508,3,490.9,1472.6999999999998
