Payment_ID,Order_ID,Payment_Date,Payment_Method,Payment_Status,Amount_Paid
PM0,O26974,2022-02-19,Card,Failed,1731.26
PM1,O7829,2020-07-18,Card,Paid,2630.0
PM2,O21870,2020-02-04,COD,Paid,4275.02
PM3,O9235,2023-07-29,COD,Paid,3785.65
PM4,O19776,2020-07-21,UPI,Paid,3146.54
PM5,O30454,2022-04-05,Card,Paid,4356.1
PM6,O22638,2025-09-29,COD,Failed,2749.66
PM7,O2454,2023-06-27,UPI,Failed,4343.13
PM8,O3383,2020-04-01,UPI,Paid,4647.94
PM9,O24775,2023-09-30,UPI,Paid,2357.67
PM10,O9010,2023-07-20,UPI,Failed,4338.91
PM11,O17739,2024-03-31,UPI,Paid,4870.68
PM12,O5172,2023-03-04,UPI,Paid,3566.95
PM13,O22240,2023-11-24,Card,Paid,653.73
PM14,O37293,2024-10-12,Card,Paid,669.19
PM15,O17308,2022-01-25,UPI,Failed,2451.47
PM16,O32494,2022-05-10,UPI,Paid,1320.87
PM17,O29433,2025-05-21,Card,Failed,4605.31
PM18,O20807,2021-11-09,Card,Paid,3219.44
PM19,O19920,2020-10-05,Card,Paid,2133.14
PM20,O11317,2022-05-20,Card,Paid,147.55
PM21,O13100,2022-09-30,Card,Paid,2753.33
PM22,O32885,2021-03-27,COD,Failed,362.34
PM23,O31509,2025-01-01,UPI,Failed,1269.67
PM24,O22694,2022-08-04,Card,Failed,4978.99
PM25,O3759,2024-05-24,UPI,Paid,1868.38
PM26,O31594,2023-09-15,COD,Failed,2576.62
PM27,O25444,2025-04-05,COD,Paid,3563.18
PM28,O20456,2020-01-05,Card,Failed,4065.91
PM29,O39065,2022-08-13,Card,Paid,2830.55
PM30,O31934,2024-04-03,Card,Paid,1575.31
PM31,O21064,2023-08-04,UPI,Failed,2883.24
PM32,O29805,2023-08-09,Card,Paid,1945.25
PM33,O23963,2023-03-25,UPI,Paid,955.36
PM34,O40455,2022-06-19,Card,Paid,270.09
PM35,O25366,2025-09-09,Card,Paid,1111.12
PM36,O29934,2020-10-09,Card,Failed,2519.42
PM37,O17245,2022-04-24,UPI,Failed,2775.0
PM38,O22928,2020-05-18,Card,Failed,328.96
PM39,O17090,2025-05-03,UPI,Failed,1269.45
PM40,O2902,2025-12-31,Card,Paid,2254.08
PM41,O31341,2024-10-01,Card,Paid,2666.43
PM42,O28014,2021-02-17,Card,Failed,3981.92
