Product_ID,Product_Name,Category,Price,Cost
P1000,Rice,Grocery,2425.77,3046.94
P1001,Phone,Fashion,2355.26,4443.78
P1002,Shirt,Fashion,537.24,3265.27
P1003,Rice,Electronics,50.0,2420.54
P1004,Laptop,Fashion,50.0,2211.98
P1005,Rice,Electronics,50.0,2019.3
P1006,Laptop,Electronics,468.97,2957.59
P1007,Laptop,Fashion,50.0,1342.47
P1008,Phone,Electronics,50.0,1121.64
P1009,Shirt,Grocery,1164.73,1482.15
P1010,Rice,Electronics,851.44,2723.72
P1011,Rice,Electronics,21.41,287.0
P1012,Laptop,Electronics,1097.16,2579.4
P1013,Shirt,Fashion,377.16,3568.66
P1014,Rice,Fashion,388.91,2681.43
P1015,Rice,Electronics,189.88,3331.39
P1016,Shirt,Fashion,1378.68,4134.33
P1017,Laptop,Electronics,50.0,2008.04
P1018,Phone,Electronics,1784.01,2356.85
P1019,Rice,Fashion,42.18,50.0
P1020,Phone,Electronics,50.0,2235.23
P1021,Shirt,Grocery,1430.87,2072.8
P1022,Phone,Fashion,50.0,2920.73
P1023,Laptop,Electronics,50.0,638.36
P1024,Laptop,Fashion,1068.22,4195.29
P1025,Rice,Electronics,50.0,905.91
P1026,Rice,Fashion,825.76,1736.26
P1027,Rice,Fashion,1824.56,2769.5
P1028,Phone,Fashion,2122.94,2808.12
P1029,Phone,Electronics,50.0,1846.19
P1030,Phone,Electronics,1046.94,1994.55
P1031,Laptop,Fashion,50.0,2580.63
P1032,Laptop,Grocery,1174.28,2931.38
P1033,Phone,Grocery,50.0,764.92
P1034,Rice,Fashion,1513.94,4958.48
P1035,Shirt,Electronics,2721.45,2868.58
P1036,Shirt,Electronics,767.3,2624.36
P1037,Shirt,Fashion,2110.21,3774.0
P1038,Rice,Fashion,376.47,2536.21
P1039,Shirt,Fashion,1849.15,3312.8
P1040,Phone,Electronics,50.0,554.02
P1041,Laptop,Fashion,50.0,2888.31
P1042,Laptop,Electronics,1203.51,4028.07
P1043,Shirt,Fashion,650.72,1445.02
P1044,Laptop,Fashion,574.01,847.59
P1045,Shirt,Grocery,50.0,2675.52
P1046,Laptop,Electronics,829.67,2310.34
P1047,Laptop,Electronics,50.0,783.17
P1048,Laptop,Electronics,437.29,771.24
P1049,Phone,Fashion,50.0,1996.84
P1050,Laptop,Fashion,50.0,2686.35
P1051,Shirt,Grocery,686.09,2969.58
P1052,Shirt,Grocery,50.0,263.91
P1053,Rice,Grocery,50.0,334.73
P1054,Shirt,Electronics,50.0,2872.2
P1055,Laptop,Electronics,50.0,1451.56
P1056,Phone,Fashion,718.42,3812.39
