Return_ID,Order_ID,Product_ID,Return_Date,Return_Reason,Refund_Amount
R0,O1699,P13184,2025-06-27,Damaged,140.58
R1,O10577,P37295,2020-03-15,Wrong Item,278.03
R2,O34663,P25920,2020-12-25,Damaged,292.5
R3,O39857,P11870,2021-09-27,Late,492.09
R4,O7232,P40318,2023-10-20,Wrong Item,416.24
R5,O36395,P27036,2022-09-10,Wrong Item,179.86
R6,O27523,P16001,2024-09-08,Damaged,373.11
R7,O28520,P29736,2022-09-14,Late,420.12
R8,O12696,P29304,2024-07-29,Damaged,102.54
R9,O22511,P10233,2021-11-19,Damaged,305.92
R10,O26647,P39141,2024-05-23,Damaged,230.93
R11,O3459,P36562,2023-08-09,Damaged,97.2
R12,O4060,P3550,2024-12-03,Late,263.01
R13,O28847,P15074,2021-02-12,Late,183.98
R14,O16173,P14384,2024-06-06,Wrong Item,439.95
R15,O13763,P35170,2022-06-30,Wrong Item,153.93
R16,O21992,P34665,2020-12-02,Wrong Item,444.79
R17,O14166,P6162,2023-08-09,Late,298.47
R18,O6359,P32380,2024-09-04,Damaged,33.34
R19,O11750,P28337,2020-02-16,Damaged,446.74
R20,O4784,P30424,2025-01-02,Damaged,287.06
R21,O40524,P19349,2021-04-02,Damaged,358.26
R22,O31629,P28576,2025-03-20,Late,161.03
R23,O32221,P7417,2025-06-14,Damaged,454.36
R24,O12938,P14638,2023-12-26,Damaged,384.88
R25,O4794,P15264,2025-06-05,Late,315.3
R26,O36626,P10066,2021-01-08,Late,172.48
R27,O14645,P13976,2025-08-25,Damaged,341.11
R28,O25546,P5053,2022-02-22,Wrong Item,420.98
R29,O28572,P24742,2020-10-14,Damaged,176.62
R30,O36440,P11282,2020-01-13,Late,5.25
R31,O37933,P10055,2022-07-03,Wrong Item,463.75
R32,O18634,P11753,2025-09-06,Damaged,486.92
R33,O35656,P33247,2023-12-14,Damaged,170.48
R34,O38402,P17136,2020-12-03,Damaged,436.2
R35,O12387,P8875,2022-03-15,Late,477.41
R36,O29093,P36666,2020-10-16,Damaged,33.51
R37,O18869,P17170,2021-09-20,Wrong Item,284.26
R38,O34946,P7659,2020-07-11,Damaged,164.25
R39,O17093,P16789,2021-07-30,Damaged,23.18
R40,O37794,P7658,2021-05-01,Damaged,259.67
R41,O16484,P22449,2021-04-08,Wrong Item,431.03
