Order_ID,Customer_ID,Order_Date,Order_Status,Shipping Date
O1000,C12603,2020-04-22,Pending,2020-05-04
O1001,C3535,2024-08-25,Completed,2024-09-02
O1002,C11568,2021-08-27,Cancelled,2021-08-31
O1003,C8400,2024-07-13,Completed,2024-07-25
O1004,C23777,2020-02-10,Completed,2020-02-14
O1005,C11763,2022-10-19,Pending,2022-11-02
O1006,C12155,2025-07-31,Cancelled,2025-08-03
O1007,C7656,2025-09-13,Completed,2025-09-14
O1008,C1643,2023-06-12,Cancelled,2023-06-20
O1009,C20581,2023-03-16,Completed,2023-03-25
O1010,C31845,2020-06-19,completed,2020-06-27
O1011,C40815,2020-01-06,Pending,2020-01-13
O1012,C38210,2022-07-17,completed,2022-07-30
O1013,C4263,2025-05-31,Pending,2025-06-10
O1014,C14691,2021-11-08,Cancelled,2021-11-10
O1015,C12565,2025-05-11,Pending,2025-05-18
O1016,C3513,2020-08-01,completed,2020-08-08
O1017,C18487,2021-12-03,Cancelled,2021-12-07
O1018,C23488,2023-02-09,Cancelled,2023-02-17
O1019,C13625,2023-04-03,Pending,2023-04-13
O1020,C13674,2023-06-26,Pending,2023-07-02
O1021,C39025,2023-03-02,Completed,2023-03-12
O1022,C22894,2022-08-18,Pending,2022-08-31
O1023,C32958,2023-09-08,Pending,2023-09-15
O1024,C20517,2025-02-20,Pending,2025-02-28
O1025,C33694,2025-09-09,completed,2025-09-18
O1026,C10084,2021-03-05,completed,2021-03-14
O1027,C18920,2024-08-02,completed,2024-08-13
O1028,C11491,2021-10-12,Pending,2021-10-14
O1029,C21513,2025-06-26,Cancelled,2025-07-11
O1030,C40978,2025-11-01,Pending,2025-11-14
O1031,C14742,2025-03-25,Pending,2025-03-30
O1032,C12910,2020-05-10,Pending,2020-05-21
O1033,C20906,2022-08-09,Completed,2022-08-15
O1034,C7964,2022-12-05,Pending,2022-12-10
O1035,C37507,2025-06-30,completed,2025-07-14
O1036,C8275,2025-01-04,completed,2025-01-14
O1037,C10191,2024-10-14,completed,2024-10-29
O1038,C16061,2020-06-22,Completed,2020-07-06
O1039,C1361,2021-03-25,completed,2021-04-09
O1040,C19788,2021-02-10,Completed,2021-02-24
O1041,C30171,2023-06-27,Completed,2023-07-08
O1042,C27217,2024-02-15,Pending,2024-02-29
O1043,C38903,2021-05-15,Pending,2021-05-21
O1044,C16109,2023-09-17,Completed,2023-09-25
O1045,C33891,2025-10-15,Completed,2025-10-29
O1046,C8303,2023-03-05,Pending,2023-03-12
O1047,C23985,2022-04-14,completed,2022-04-16
O1048,C15592,2022-08-19,Completed,2022-08-26
