Payment_ID,Order_ID,Payment_Date,Payment_Method,Payment_Status,Amount_Paid
PM0,O26974,2022-02-19,Card,Failed,1731.2571723078427
PM1,O7829,2020-07-18,card,Paid,2629.9963438540153
PM2,O21870,2020-02-04,COD,Paid,4275.022628233018
PM3,O9235,2023-07-29,COD,Paid,3785.6453853457247
PM4,O19776,2020-07-21,upi,paid,3146.53550511273
PM5,O30454,2022-04-05,Card,paid,4356.096475900066
PM6,O22638,2025-09-29,COD,Failed,2749.663433663161
PM7,O2454,2023-06-27,UPI,Failed,4343.129267114939
PM8,O3383,2020-04-01,UPI,paid,4647.942138477208
PM9,O24775,2023-09-30,upi,Paid,2357.6658303230083
PM10,O9010,2023-07-20,UPI,Failed,4338.912357863605
PM11,O17739,2024-03-31,UPI,Paid,4870.679014628575
PM12,O5172,2023-03-04,upi,paid,3566.9470650608273
PM13,O22240,2023-11-24,card,paid,653.7327162892738
PM14,O37293,2024-10-12,card,Paid,669.1879182015342
PM15,O17308,2022-01-25,UPI,Failed,2451.4670736236803
PM16,O32494,2022-05-10,upi,paid,1320.8713083022178
PM17,O29433,2025-05-21,Card,Failed,4605.308279860559
PM18,O20807,2021-11-09,Card,paid,3219.437946361758
PM19,O19920,2020-10-05,Card,paid,2133.1390412973037
PM20,O11317,2022-05-20,card,paid,147.55018095906783
PM21,O13100,2022-09-30,Card,Paid,2753.329454067174
PM22,O32885,2021-03-27,COD,Failed,362.3404983794595
PM23,O31509,2025-01-01,UPI,Failed,1269.667882237294
PM24,O22694,2022-08-04,Card,Failed,4978.990939509147
PM25,O3759,2024-05-24,upi,Paid,1868.3806598559843
PM26,O31594,2023-09-15,COD,Failed,2576.623477928391
PM27,O25444,2025-04-05,COD,Paid,3563.1839381137215
PM28,O20456,2020-01-05,Card,Failed,4065.911858451906
PM29,O39065,2022-08-13,Card,Paid,2830.5499786146142
PM30,O31934,2024-04-03,Card,paid,1575.311029509021
PM31,O21064,2023-08-04,upi,Failed,2883.2422897692127
PM32,O29805,2023-08-09,card,Paid,1945.2499477046358
PM33,O23963,2023-03-25,UPI,Paid,955.3616032945126
PM34,O40455,2022-06-19,Card,paid,270.092548188627
