Return_ID,Order_ID,Product_ID,Return_Date,Return_Reason,Refund_Amount
R0,O1699,P13184,2025-06-27,damaged,140.582051946148
R1,O10577,P37295,2020-03-15,Wrong Item,278.02885960138383
R2,O34663,P25920,2020-12-25,Damaged,292.49650782691924
R3,O39857,P11870,2021-09-27,Late,492.09424504111047
R4,O7232,P40318,2023-10-20,Wrong Item,416.24462839028047
R5,O36395,P27036,2022-09-10,Wrong Item,179.8584170485785
R6,O27523,P16001,2024-09-08,damaged,373.1058829722636
R7,O28520,P29736,2022-09-14,Late,420.1190449697648
R8,O12696,P29304,2024-07-29,Damaged,102.53794629672247
R9,O22511,P10233,2021-11-19,damaged,305.9170398398188
R10,O26647,P39141,2024-05-23,damaged,230.93257558967562
R11,O3459,P36562,2023-08-09,Damaged,97.20266876675925
R12,O4060,P3550,2024-12-03,Late,263.0070173054123
R13,O28847,P15074,2021-02-12,Late,183.98003074119453
R14,O16173,P14384,2024-06-06,Wrong Item,439.94989183982847
R15,O13763,P35170,2022-06-30,Wrong Item,153.93093422086352
R16,O21992,P34665,2020-12-02,Wrong Item,444.7931422421767
R17,O14166,P6162,2023-08-09,Late,298.4741714191463
R18,O6359,P32380,2024-09-04,damaged,33.34445493184803
R19,O11750,P28337,2020-02-16,damaged,446.7378040217835
R20,O4784,P30424,2025-01-02,Damaged,287.0647127713152
R21,O40524,P19349,2021-04-02,Damaged,358.25900196747875
R22,O31629,P28576,2025-03-20,Late,161.02878084229584
R23,O32221,P7417,2025-06-14,damaged,454.35774919888416
R24,O12938,P14638,2023-12-26,damaged,384.8835520961908
R25,O4794,P15264,2025-06-05,Late,315.3022435960349
R26,O36626,P10066,2021-01-08,Late,172.4817972686099
R27,O14645,P13976,2025-08-25,damaged,341.11222083541674
R28,O25546,P5053,2022-02-22,Wrong Item,420.9827268216878
R29,O28572,P24742,2020-10-14,Damaged,176.62468109493534
R30,O36440,P11282,2020-01-13,Late,5.246995858013951
R31,O37933,P10055,2022-07-03,Wrong Item,463.75245698287483
R32,O18634,P11753,2025-09-06,Damaged,486.9245527031774
R33,O35656,P33247,2023-12-14,Damaged,170.4786538384448
R34,O38402,P17136,2020-12-03,damaged,436.2049051953966
R35,O12387,P8875,2022-03-15,Late,477.40593608124607
R36,O29093,P36666,2020-10-16,damaged,33.50519036044763
R37,O18869,P17170,2021-09-20,Wrong Item,284.261206221051
R38,O34946,P7659,2020-07-11,damaged,164.2517171028795
R39,O17093,P16789,2021-07-30,damaged,23.17544915267036
R40,O37794,P7658,2021-05-01,damaged,259.66738288575067
R41,O16484,P22449,2021-04-08,Wrong Item,431.02554305235657
R42,O6804,P39093,2023-05-16,damaged,295.35716290773513
R43,O20263,P3088,2022-08-14,damaged,176.10406020103173
R44,O39728,P3295,2024-07-07,Late,13.393112956290919
R45,O22280,P28571,2023-09-27,Wrong Item,283.6203555583144
R46,O36329,P13480,2021-10-11,Wrong Item,232.66055140434628
R47,O9397,P1587,2022-06-19,Damaged,422.19190052394515
R48,O28057,P18598,2020-07-13,Late,443.1603936338011
R49,O26995,P4251,2020-10-19,Wrong Item,400.06747889436406
R50,O20035,P22223,2021-10-19,Wrong Item,205.85607030074033
R51,O5153,P2212,2025-08-24,Late,162.32886390310907
R52,O7303,P31848,2024-05-03,Late,289.0844133337108
R53,O14256,P14100,2025-09-18,Wrong Item,109.45428501808044
R54,O8049,P12236,2021-11-02,damaged,169.6675251450865
R55,O29154,P26055,2023-06-07,Late,304.14443237685657
R56,O15282,P25628,2023-10-27,Wrong Item,383.3814004273699
R57,O20024,P11470,2020-04-12,Damaged,476.36515004143536
R58,O11877,P36719,2025-09-29,Damaged,395.38944217962904
R59,O22682,P9771,2022-10-07,Late,76.61155216662553
R60,O29737,P12253,2024-12-27,damaged,166.67559883773114
R61,O23051,P32620,2022-09-11,Late,418.656114633925
R62,O22733,P6704,2023-02-06,Late,389.98419289408304
R63,O39726,P21221,2023-01-01,Wrong Item,462.00875106558715
R64,O25975,P27762,2020-08-13,Late,146.248271784593
R65,O35590,P23537,2022-05-22,Late,81.86561775754807
R66,O11793,P22969,2020-08-22,Damaged,75.2135324627153
R67,O29689,P14161,2024-01-07,Wrong Item,21.0780469653799
R68,O16895,P2679,2022-09-15,Late,450.20378404133464
R69,O8204,P26133,2021-07-31,damaged,498.7152464743205
R70,O3762,P14343,2022-08-04,Late,478.5338038688977
R71,O34703,P5566,2024-05-10,Damaged,284.51179054406384
R72,O20549,P24911,2020-04-27,Damaged,278.9765787118233
R73,O9395,P18886,2025-11-26,Wrong Item,300.6985640944895
R74,O26417,P37096,2025-10-19,Wrong Item,103.22067108527293
R75,O40965,P4373,2024-06-21,Wrong Item,355.6396800861448
R76,O2349,P34318,2025-02-02,damaged,29.200916773955417
R77,O20643,P37886,2023-01-06,damaged,299.1184161798113
R78,O14786,P21096,2021-02-12,damaged,104.02508093345375
R79,O12235,P19163,2025-04-10,Late,182.70550008960063
R80,O31381,P33782,2020-05-24,damaged,221.0924665734009
R81,O6797,P19747,2020-11-01,Damaged,235.7078650145598
R82,O17414,P17891,2025-08-26,Late,455.3069444250646
R83,O10032,P34979,2025-10-06,Late,66.53960837560336
R84,O19678,P3021,2022-08-07,Damaged,123.74888598130138
R85,O14148,P10783,2020-02-26,Late,297.8715365147436
R86,O32070,P19651,2021-11-08,Damaged,365.4497702700066
R87,O34829,P36844,2023-01-23,Damaged,428.57209485764326
R88,O17978,P7977,2025-11-16,Damaged,467.3603456578034
R89,O27430,P29378,2020-12-09,Damaged,333.62927270653734
R90,O2468,P32949,2025-02-12,Late,498.4327191330784
R91,O30143,P28557,2022-09-21,damaged,140.71086475268868
R92,O15704,P30798,2020-12-01,damaged,476.7788570779205
R93,O19745,P15039,2024-05-20,Wrong Item,288.9803982151477
R94,O2762,P30193,2023-06-28,Late,493.0484462782597
R95,O12028,P18692,2023-05-18,Wrong Item,377.7856905219331
R96,O26683,P10518,2021-07-09,Wrong Item,40.119984652448515
R97,O21790,P16916,2021-11-02,Damaged,121.44062317859473
R98,O9542,P37932,2021-04-27,damaged,352.918561293507
R99,O4626,P33244,2024-09-22,Wrong Item,316.97889653311637
R100,O18233,P35433,2025-06-27,damaged,246.38440091276638
R101,O36185,P14538,2024-08-26,Damaged,452.01379452070876
R102,O1548,P13025,2022-11-01,Damaged,328.3511228312149
R103,O20618,P9357,2022-08-24,Late,466.3941886168334
R104,O13901,P19253,2023-05-07,Damaged,107.0096512761991
R105,O7094,P4537,2021-03-17,Wrong Item,171.12817067114815
R106,O9702,P12493,2020-05-14,Wrong Item,460.37099286035647
R107,O7834,P1557,2022-07-18,Late,391.48966458725687
R108,O18488,P28135,2021-02-27,Wrong Item,335.6925634989713
R109,O15601,P31384,2023-12-21,Wrong Item,60.64172032094613
R110,O5256,P35019,2020-11-02,Late,403.40895789186385
R111,O22338,P25041,2024-10-09,Wrong Item,370.351602029847
R112,O12899,P16602,2024-11-17,Late,107.79178533768642
R113,O33946,P12101,2021-08-02,Damaged,332.01822095725595
R114,O24755,P37895,2023-01-19,Damaged,204.3449889135447
R115,O40048,P23173,2020-02-08,Wrong Item,389.6799534277495
R116,O3469,P24554,2020-12-14,damaged,383.1359055386296
R117,O29684,P1516,2023-06-06,damaged,237.3937086465195
R118,O7242,P34450,2021-08-31,damaged,43.53289761887754
R119,O32013,P8317,2024-08-05,Wrong Item,13.115934691166666
R120,O4761,P25043,2025-10-29,damaged,178.73780803865853
R121,O40089,P35537,2024-10-04,Wrong Item,311.6823488505248
R122,O18577,P39605,2024-12-17,Damaged,105.64594613017071
R123,O32131,P36113,2021-09-04,Damaged,379.34425792818763
R124,O2008,P29968,2024-10-16,Wrong Item,407.6307916615477
R125,O7462,P30029,2024-12-08,damaged,71.40707326219903
R126,O26476,P39516,2021-04-19,Late,471.2815943827657
R127,O8049,P39366,2025-08-06,Wrong Item,71.54107234165473
R128,O31446,P34631,2021-02-12,damaged,356.37644371409044
R129,O21757,P18108,2023-08-26,Wrong Item,369.33667863337143
R130,O16255,P15405,2023-08-10,Late,270.57922968423924
R131,O12383,P27317,2024-08-10,Late,307.0091311579383
R132,O23572,P34018,2020-10-30,Late,204.6565625603187
R133,O29644,P39024,2024-11-01,damaged,195.46235228482925
R134,O21689,P11993,2024-11-16,Late,438.70876870130013
R135,O15714,P23934,2022-03-13,Damaged,95.94007765609125
R136,O37737,P24713,2022-05-08,damaged,8.066966253121192
R137,O19251,P1310,2023-09-06,Wrong Item,452.521206544405
R138,O25383,P17407,2022-01-28,Wrong Item,30.57149717122257
R139,O16061,P25037,2023-05-29,Late,365.4298365158298
R140,O29154,P34521,2021-12-07,Wrong Item,280.787317572778
R141,O22454,P8257,2024-08-03,damaged,436.65489798179686
R142,O20863,P28701,2021-05-17,Damaged,311.4044673732945
R143,O7854,P32129,2021-08-14,Damaged,191.5858754423864
R144,O22520,P29388,2021-06-09,Late,406.0998259641283
R145,O34581,P32219,2021-09-14,damaged,93.28392420913477
R146,O13957,P27548,2025-02-26,damaged,352.323866905683
R147,O3481,P4955,2025-05-15,Wrong Item,418.2937906469565
R148,O8982,P5112,2024-12-23,Wrong Item,194.2315357076469
R149,O36519,P37446,2022-07-29,Wrong Item,312.0479544361739
R150,O22091,P33416,2021-11-16,damaged,270.0899909742584
R151,O13793,P13587,2024-06-21,damaged,457.9815357047967
R152,O11286,P40564,2024-02-24,Damaged,280.3693240677906
R153,O11751,P2885,2022-09-18,Damaged,233.9374672762286
R154,O26947,P34723,2024-02-05,Late,84.24485437495944
R155,O4088,P11425,2022-03-15,Late,207.3714272567029
R156,O13074,P6783,2025-11-04,damaged,208.45107982709567
R157,O13226,P10093,2025-10-31,Late,436.3609729306138
R158,O33637,P13266,2021-05-16,damaged,163.3106380982618
R159,O8468,P23756,2025-08-25,Damaged,58.62911402429153
R160,O9885,P35305,2024-11-19,Late,172.43057923363494
R161,O6381,P19422,2025-02-10,Damaged,411.26039933870777
R162,O29752,P19807,2020-04-03,Wrong Item,106.35528485575024
R163,O25262,P4123,2021-06-11,damaged,213.46385783441897
R164,O23763,P25336,2020-04-03,damaged,247.48094954650276
R165,O3722,P2526,2024-02-08,Wrong Item,16.481897800528422
R166,O36587,P35227,2020-04-20,Damaged,158.39290659741732
R167,O5668,P28827,2024-05-13,damaged,160.1205006220446
R168,O33571,P16459,2020-08-22,damaged,417.6334736265602
R169,O4020,P23779,2020-02-18,damaged,317.56378825612984
R170,O14306,P24847,2025-11-20,damaged,200.10321850397096
R171,O29247,P39917,2023-02-25,damaged,302.88191297010235
R172,O25270,P38790,2022-08-15,Damaged,50.830050277462554
R173,O15154,P9280,2023-04-17,Late,427.8259221762351
R174,O28145,P11953,2021-12-26,Wrong Item,125.89979656602593
R175,O3961,P25417,2023-05-24,Late,371.53022743590105
R176,O31751,P36838,2020-12-07,damaged,300.34124040153955
R177,O40442,P31324,2020-12-14,damaged,107.53050617146614
R178,O34409,P34118,2021-11-25,damaged,405.21203227062693
R179,O2113,P13272,2022-05-17,Damaged,396.3051056340205
R180,O12106,P29178,2024-01-03,damaged,198.36919038287846
