Review_id,Customer_id,Product_id,Rating,Review text,review date
RV0,C26263,P31065,5,Average,2024-09-24
RV1,C15009,P36269,5,poor,2021-01-21
RV2,C12865,P25031,3,Good,2023-02-20
RV3,C9560,P29466,3,bad,2023-01-19
RV4,C37926,P22717,4,Average,2025-03-17
RV5,C14029,P34178,2,bad,2023-07-02
RV6,C11818,P4536,5,Average,2020-11-07
RV7,C10365,P1406,3,Good,2025-06-20
RV8,C25722,P22302,1,excellent,2021-10-31
RV9,C32739,P17123,1,Good,2020-01-13
RV10,C9595,P31046,1,bad,2023-06-30
RV11,C15552,P11069,1,bad,2025-07-25
RV12,C37953,P33042,2,Average,2024-09-11
RV13,C28930,P11872,3,bad,2023-04-06
RV14,C10722,P8526,2,bad,2024-02-08
RV15,C9070,P33352,4,Good,2021-09-30
RV16,C12994,P8893,1,poor,2025-01-04
RV17,C30273,P39551,1,Average,2022-08-04
RV18,C12973,P23890,3,Average,2022-05-04
RV19,C32518,P2857,4,bad,2022-12-25
RV20,C12674,P27327,1,poor,2022-06-09
RV21,C34935,P15729,5,excellent,2024-09-06
RV22,C15510,P39972,5,Good,2020-04-11
RV23,C7368,P40138,5,excellent,2022-09-25
RV24,C4615,P13559,3,excellent,2020-09-22
RV25,C19410,P21261,5,Good,2023-11-18
RV26,C24048,P30509,3,bad,2024-07-20
RV27,C13371,P13316,2,poor,2025-09-08
RV28,C33411,P30526,2,excellent,2020-03-24
RV29,C30934,P31551,4,poor,2023-08-23
RV30,C6609,P39930,3,excellent,2024-07-25
RV31,C32301,P6735,3,excellent,2020-08-31
RV32,C13549,P13853,1,Good,2020-04-22
RV33,C17491,P33779,3,Good,2021-08-07
RV34,C13000,P39826,5,poor,2024-04-10
RV35,C32436,P39313,5,bad,2025-01-06
RV36,C14266,P15496,4,Average,2022-05-16
RV37,C19004,P29590,1,Good,2024-11-03
RV38,C2108,P11704,5,Good,2023-01-22
RV39,C24002,P39794,4,poor,2020-04-12
RV40,C11391,P22305,4,excellent,2021-02-14
RV41,C29993,P36534,1,excellent,2022-02-13
